County,Precinct Number,Location,Address,Zipcode
Baker,6A,Olustee Fire Station,"5644 Old Lulu Rd, Sanderson, FL",32087
Bradford,1,Lawtey Community Center,"22598 Park St, Lawtey, FL",320580000
Bradford,2,Lawtey Community Center,"22598 Park St, Lawtey, FL",320580000
Bradford,3,Heilbron Springs Baptist Church,"21354 NW State Road 16, Starke, FL",32091
Bradford,4,Church of God By Faith,"730 Old Lawtey Rd, Starke, FL",32091
Bradford,5,Bayless Highway Baptist Church,"11798 NW County Road 225, Starke, FL",32091
Bradford,6,Bradford County Senior Center,"1805 N Temple Ave, Starke, FL",32091
Bradford,7,Madison Street Baptist Church,"900 W Madison St, Starke, FL",320910000
Bradford,8,Starke Golf & Country Club,"15501 NE 14th Ave, Starke, FL",320910000
Bradford,9,Sampson City Church of God,"8042 SW County Road 225, Starke, FL",32091
Bradford,10,Theressa Community Center,"1748 SE 81st Ave, Starke, FL",32091
Bradford,11,Hampton City Hall,"10813 SW County Road 18, Hampton, FL",32044
Bradford,12,Keystone United Methodist Church,"4004 SE State Road 21, Keystone Heights, FL",32656
Bradford,13,Brooker Community Center,"17435 Tetstone Ave, Brooker, FL",32622
Brevard,100,Harry T. & Harriette V. Moore Cultural Complex,"2180 Freedom Ave, Mims, FL",32754
Brevard,102,Walter Butler Community Center,"4201 N US Hwy 1, Cocoa, FL",32927
Brevard,103,The Grove Church (Chapel),"1450 Harrison St, Titusville, FL",32780
Brevard,104,Mims Scottsmoor Public Library,"3615 Lionel Rd, Mims, FL",32754
Brevard,105,Sandrift Community Center,"585 N Singleton Ave, Titusville, FL",32796
Brevard,106,Scottsmoor Meeting Hall,"3724 Magoon Ave, Mims, FL",32754
Brevard,107,The Grove Church (Chapel),"1450 Harrison St, Titusville, FL",32780
Brevard,108,Titusville Public Library,"2121 S Hopkins Ave, Titusville, FL",32780
Brevard,109,North Brevard Senior Center,"909 Lane Ave, Titusville, FL",32780
Brevard,111,Titusville Public Library,"2121 S Hopkins Ave, Titusville, FL",32780
Brevard,112,The Grove Church (Chapel),"1450 Harrison St, Titusville, FL",32780
Brevard,113,Victory Baptist Church,"242 Capron Rd, Cocoa, FL",32927
Brevard,114,San Mateo Mobile Village,"5205 Sisson Rd, Titusville, FL",32780
Brevard,115,Titusville Public Library,"2121 S Hopkins Ave, Titusville, FL",32780
Brevard,116,San Mateo Mobile Village,"5205 Sisson Rd, Titusville, FL",32780
Brevard,120,UF/IFAS Brevard County Extension Services,"3695 Lake Dr, Cocoa, FL",32926
Brevard,121,Travis Recreation Center,"2001 Michigan Ave, Cocoa, FL",32926
Brevard,122,Space Coast Jr/Sr High School,"6150 Banyan St, Cocoa, FL",32927
Brevard,125,Port St. John Community Center,"6650 Corto Rd, Cocoa, FL",32927
Brevard,126,Harry T. & Harriette V. Moore Cultural Complex,"2180 Freedom Ave, Mims, FL",32754
Brevard,127,Victory Baptist Church,"242 Capron Rd, Cocoa, FL",32927
Brevard,128,UF/IFAS Brevard County Extension Services,"3695 Lake Dr, Cocoa, FL",32926
Brevard,129,Walter Butler Community Center,"4201 N US Hwy 1, Cocoa, FL",32927
Brevard,130,UF/IFAS Brevard County Extension Services,"3695 Lake Dr, Cocoa, FL",32926
Brevard,131,Travis Recreation Center,"2001 Michigan Ave, Cocoa, FL",32926
Brevard,132,Rockledge City Hall,"1600 Huntington Ln, Rockledge, FL",32955
Brevard,133,Travis Recreation Center,"2001 Michigan Ave, Cocoa, FL",32926
Brevard,135,UF/IFAS Brevard County Extension Services,"3695 Lake Dr, Cocoa, FL",32926
Brevard,137,Titusville Garden Club,"5275 Sisson Rd, Titusville, FL",32780
Brevard,138,Supervisor of Elections Office,"400 South St., Titusville, FL",32780
Brevard,139,Supervisor of Elections Office,"400 South St., Titusville, FL",32780
Brevard,140,Supervisor of Elections Office,"400 South St., Titusville, FL",32780
Brevard,200,Rockledge City Hall,"1600 Huntington Ln, Rockledge, FL",32955
Brevard,201,Veterans Memorial Center,"400 S Sykes Creek Pkwy, Merritt Island, FL",32952
Brevard,203,Kiwanis Island Park Gym,"950 Kiwanis Island Park Rd, Merritt Island, FL",32952
Brevard,204,Cape Canaveral Community Center,"7920 Orange Ave, Cape Canaveral, FL",32920
Brevard,205,Moose Lodge #2073,"3150 N Courtenay Pkwy, Merritt Island, FL",32953
Brevard,206,Kiwanis Island Park Gym,"950 Kiwanis Island Park Rd, Merritt Island, FL",32952
Brevard,207,Travis Recreation Center,"2001 Michigan Ave, Cocoa, FL",32926
Brevard,208,Cocoa Beach Community Church,"126 S Atlantic Ave, Cocoa Beach, FL",32931
Brevard,209,Clearlake Education Center,"1225 Clearlake Rd, Cocoa, FL",32922
Brevard,211,McLarty Recreation Hall,"790 Barton Blvd, Rockledge, FL",32955
